zone,volume
11,67.186700
12,41.130100
13,635.465000
14,99.849900
15,34.332100
21,99.940300
22,67.743400
23,948.491000
24,131.653000
25,52.141100
31,419.117000
32,528.651000
33,4082.740000
34,548.216000
35,237.262000
41,127.498000
42,158.102000
43,1253.160000
44,164.005000
45,73.832500
